Nom;Defense ;Contraintes ;Poids ;Capacite speciale ;nom complet 
bouclier carcasse;Ph:10;Force Minimum:3;2;;
pavois;Ph:15|F:7;Force Minimum:7;3;Couvert : pour un coût de 1 action le pavois peut être posé  et ainsi être utilisé simultanément avec une arme à 2 mains. Les autres règles s’appliquent normalement.;
pavois leger;Ph:12|F:4;Force Minimum:5;2;Couvert : pour un coût de 1 action le pavois peut être posé  et ainsi être utilisé simultanément avec une arme à 2 mains. Les autres règles s’appliquent normalement.;
bouclier de bretteur;Ph:5;Force Minimum:2;1;Bretteur : +1 au meilleur dé lors d’une frappe en coup critique à l’épée suite à une parade réussie.
Parade automatique sur 6 ou 8 (pas besoin d'annoncer la parade);
bouclier equilibre de bretteur;Ph:7;Force Minimum:3;1;Bretteur : +1 au meilleur dé lors d’une frappe en coup critique à l’épée suite à une parade réussie.
Parade automatique sur 6 ou 8 (pas besoin d'annoncer la parade);
pavois en bois;Ph:10|F:-5|Po:5;Force Minimum:5;2;Repli : Si lors d’une frappe le joueur blesse l’ennemi, alors le joueur economise une energie de la frappe (une fois par tour seulement).;
bouclier de bois;Ph:9|F:-4;Force Minimum:1;2;Lors de l'annonce d'une parade, ne pare uniquement que toutes les frappes dont la somme des dés est supérieur ou égal à 13;
bouclier d if;Ph:7|Po:3;Force Minimum:4;1;;
bouclier de poignet;Ph:3;Force Minimum:0;0;Léger: porté par le poignet la main reste libre de tenir autre chose;
bouclier de chevalier noir;Ph:15|F:10|Ma:7;Force Minimum:10;4;Si le porteur est plus lourd que l’attaquant alors celui-ci est repoussé et son tour s'arrête suite à la résolution de la frappe;
bouclier cible;Ph:6;Force Minimum:1;1;Pare automatiquement toutes les frappes à 7,8 ou 9 sans avoir besoin de l'annoncer;
bouclier chauffant;Ph:12;Force Minimum:3;2;Le joueur peut annoncer 3 valeurs de parades que le bouclier pare automatiquement juste avant une frappe. Exemple "parade 10,11,12";
bouclier rond;Ph:16|Po:6;Force Minimum:4;2;Pare automatiquement si la frappe ne fait aucun dégât (avant la comparaison à la défense du joueur);
bouclier de chevalier;Ph:11;Force Minimum:7;3;Si le porteur annonce une parade alors il jette 1D20 : si le résultat est INFERIEUR à la somme des dés de l'attaque adverse alors la parade est réussie. Il n'y a pas de contre attaque possible avec une parade de ce bouclier;
